Endereço de Origem,Latitude,Longitude,Raio de Busca (m),Tipo de Estabelecimento,Número de Vértices,Número de Arestas,Densidade do Grafo,Tempo Médio Dijkstra (s),Tempo Médio Astar (s),Tempo Médio Bellman ford (s),Tempo Médio Bidirectional dijkstra (s),Tempo Médio Bidirectional a star (s)
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,500,italian,237,282,0.005041836515769148,0.0,0.0003331502278645833,0.00033346811930338543,0.0,0.0
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,1000,italian,612,739,0.0019762951552688723,0.0,0.0,0.0008333126703898112,0.0001666545867919922,0.0
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,1500,italian,1480,1896,0.000866180582204923,0.000250011682510376,0.00012505054473876953,0.0019977688789367676,0.00012502074241638184,0.00012499094009399414
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,2000,italian,2830,3837,0.00047926136044276405,0.00033354759216308594,0.0002500017484029134,0.006292223930358887,0.00041663646697998047,8.338689804077148e-05
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,2500,japanese,4827,7003,0.0003006211348634576,0.0015007768358503068,0.00142843382699149,0.021527903420584544,0.0014284678867885045,0.00014288084847586497
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,3000,japanese,6383,9567,0.00023485192790922182,0.002226114273071289,0.0013945367601182726,0.02517996893988715,0.0020000669691297743,0.0003333091735839844
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,3500,japanese,7784,11683,0.00019284328415463696,0.0036078691482543945,0.0025715146745954242,0.027761782918657576,0.0037144592830113004,0.0003571169716971261
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,4000,steak_house,9212,13858,0.0001633201783082047,0.004394504759046767,0.0027763578626844618,0.028090794881184895,0.0038904084099663627,0.0004443062676323785
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,4500,steak_house,10298,15648,0.00014756903496924032,0.00559477372602983,0.003090945157137784,0.04327481443231756,0.00547337532043457,0.0003635449842973189
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,5000,steak_house,12179,18557,0.00012511810773145762,0.012100046331232244,0.003268306905573065,0.055658297105269,0.005943580107255416,0.0004545992070978338
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,5500,steak_house,15278,24112,0.00010330673850335287,0.016918083031972248,0.003991663455963135,0.07515654961268108,0.007459084192911784,0.0006719032923380533
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,6000,burger,16625,26246,9.496551774045315e-05,0.0207059383392334,0.0028191208839416504,0.08908280730247498,0.006874978542327881,0.0005016922950744629
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,6500,steak_house,18233,29151,8.769220961553997e-05,0.009715216500418527,0.005643044199262347,0.10150994573320661,0.009574941226414271,0.0012142487934657506
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,7000,barbecue,25525,41662,6.394780292435872e-05,0.010625332593917847,0.005441576242446899,0.21245697140693665,0.012188613414764404,0.0004999935626983643
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,7500,barbecue,28529,46525,5.7164776119907664e-05,0.021030068397521973,0.00955662727355957,0.25613162517547605,0.02098813056945801,0.0006000041961669922
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,8000,burger,32514,52393,4.9561657396840356e-05,0.0138344234890408,0.004888614018758138,0.31900392638312447,0.014765050676133897,0.0006666978200276693
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,8500,burger,36393,57331,4.32878220676329e-05,0.020153212547302245,0.007350921630859375,0.42747817039489744,0.03467326164245606,0.0009209394454956054
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,9000,burger,40610,63824,3.870158346197124e-05,0.03804345564408736,0.009137565439397638,0.5359046025709673,0.023259618065573952,0.0009549314325506037
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,9500,fish,45261,71339,3.482477527624601e-05,0.05562288761138916,0.016447949409484863,0.6522326231002807,0.03815271854400635,0.002499508857727051
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,10000,seafood,48859,76575,3.207796035456666e-05,0.053463485505845815,0.013763427734375,0.7984030246734619,0.032709969414605036,0.001999934514363607
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,10500,seafood,51627,80968,3.037862028403333e-05,0.037253220876057945,0.01650140682856242,0.9572644432385763,0.05586332082748413,0.0019999146461486816
"Rua Visconde de Pirajá, Ipanema, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22421-010, Brasil",-22.9840115,-43.2092282,11000,seafood,54700,85889,2.8705877901908444e-05,0.05385992924372355,0.016420940558115642,0.9693393309911092,0.053288161754608154,0.0018754005432128906
